PUBUKPRN,KISCOURSEID,KISMODE
10003956,KUZBAENLMAC4FF,1
10003956,KUZBAENLMACF,1
10003956,KUZBAENLPLI4FF,1
10003956,KUZBAENLPLIF,1
10003956,KUZBAENLPSY4FF,1
10003956,KUZBAENLPSYF,1
10003956,KUZBAENLSEN4FF,1
10003956,KUZBAENLSENF,1
10003956,KUZBAEONEDA4FF,1
10003956,KUZBAEONEDAF,1
10003956,KUZBAEONELI4FF,1
10003956,KUZBAEONELIF,1
10003956,KUZBAEONGEO4FF,1
10003956,KUZBAEONGEOF,1
10003956,KUZBAEONHIS4FF,1
10003956,KUZBAEONHISF,1
10003956,KUZBAEONHUB4FF,1
10003956,KUZBAEONHUBF,1
10003956,KUZBAEONHUG4FF,1
10003956,KUZBAEONHUGF,1
10003956,KUZBAEONHWB4FF,1
10003956,KUZBAEONHWBF,1
10003956,KUZBAEONMAC4FF,1
10003956,KUZBAEONMACF,1
10003956,KUZBAEONMAR4FF,1
10003956,KUZBAEONMARF,1
10003956,KUZBAEONMUP4FF,1
10003956,KUZBAEONMUPF,1
10003956,KUZBAEONPHE4FF,1
10003956,KUZBAEONPHEF,1
10003956,KUZBAEONPLI4FF,1
10003956,KUZBAEONPLIF,1
10003956,KUZBAEONPSY4FF,1
10003956,KUZBAEONPSYF,1
10003956,KUZBAEONRSS4FF,1
10003956,KUZBAEONRSSF,1
10003956,KUZBAEONSCR4FF,1
10003956,KUZBAEONSCRF,1
10003956,KUZBAEONSEN4FF,1
10003956,KUZBAEONSENF,1
10003956,KUZBAEONSES4FF,1
10003956,KUZBAEONSESF,1
10003956,KUZBAEONSOP4FF,1
10003956,KUZBAEONSOPF,1
10003956,KUZBAEONTOR4FF,1
10003956,KUZBAEONTORF,1
10003956,KUZBAFTP4FF,1
10003956,KUZBAFTPF,1
10003956,KUZBAFVCGEO4FF,1
10003956,KUZBAFVCGEOF,1
10003956,KUZBAFVCHIS4FF,1
10003956,KUZBAFVCHISF,1
10003956,KUZBAFVCHUB4FF,1
10003956,KUZBAFVCHUBF,1
10003956,KUZBAFVCHUG4FF,1
10003956,KUZBAFVCHUGF,1
10003956,KUZBAFVCHWB4FF,1
10003956,KUZBAFVCHWBF,1
10003956,KUZBAFVCMAC4FF,1
10003956,KUZBAFVCMACF,1
10003956,KUZBAFVCMAR4FF,1
10003956,KUZBAFVCMARF,1
10003956,KUZBAFVCMUP4FF,1
10003956,KUZBAFVCMUPF,1
10003956,KUZBAFVCPHE4FF,1
10003956,KUZBAFVCPHEF,1
10003956,KUZBAFVCPLI4FF,1
10003956,KUZBAFVCPLIF,1
10003956,KUZBAFVCPSY4FF,1
10003956,KUZBAFVCPSYF,1
10003956,KUZBAFVCRSS4FF,1
10003956,KUZBAFVCRSSF,1
10003956,KUZBAFVCSCR4FF,1
10003956,KUZBAFVCSCRF,1
10003956,KUZBAFVCSEN4FF,1
10003956,KUZBAFVCSENF,1
10003956,KUZBAFVCSES4FF,1
10003956,KUZBAFVCSESF,1
10003956,KUZBAFVCSOP4FF,1
10003956,KUZBAFVCSOPF,1
10003956,KUZBAFVCTOR4FF,1
10003956,KUZBAFVCTORF,1
10003956,KUZBAGEOINR4FF,1
10003956,KUZBAGEOINRF,1
10003956,KUZBAGEOLAW4FF,1
10003956,KUZBAGEOLAWF,1
10003956,KUZBAGEOMAC4FF,1
10003956,KUZBAGEOMACF,1
10003956,KUZBAGEOPLI4FF,1
10003956,KUZBAGEOPLIF,1
10003956,KUZBAGEOSCR4FF,1
10003956,KUZBAGEOSCRF,1
10003956,KUZBAGEOSOC4FF,1
10003956,KUZBAGEOSOCF,1
10003956,KUZBAHISASCR4FF,1
10003956,KUZBAHISASCRF,1
10003956,KUZBAHISINR4FF,1
10003956,KUZBAHISINRF,1
10003956,KUZBAHISLAW4FF,1
10003956,KUZBAHISLAWF,1
10003956,KUZBAHISMAC4FF,1
10003956,KUZBAHISMACF,1
10003956,KUZBAHISPLI4FF,1
10003956,KUZBAHISPLIF,1
10003956,KUZBAHISPSY4FF,1
10003956,KUZBAHISPSYF,1
10003956,KUZBAHISSOC4FF,1
10003956,KUZBAHISSOCF,1
10003956,KUZBAHUBINR4FF,1
10003956,KUZBAHUBINRF,1
10003956,KUZBAHUBLAW4FF,1
10003956,KUZBAHUBLAWF,1
10003956,KUZBAHUBSEN4FF,1
10003956,KUZBAHUBSENF,1
10003956,KUZBAHUBSOC4FF,1
10003956,KUZBAHUBSOCF,1
10003956,KUZBAHUGINR4FF,1
10003956,KUZBAHUGINRF,1
10003956,KUZBAHUGLAW4FF,1
10003956,KUZBAHUGLAWF,1
10003956,KUZBAHUGMAC4FF,1
10003956,KUZBAHUGMACF,1
10003956,KUZBAHUGPLI4FF,1
10003956,KUZBAHUGPLIF,1
10003956,KUZBAHUGPSY4FF,1
10003956,KUZBAHUGPSYF,1
10003956,KUZBAHUGSCR4FF,1
10003956,KUZBAHUGSCRF,1
10003956,KUZBAHUGSOC4FF,1
10003956,KUZBAHUGSOCF,1
10003956,KUZBAHWBASCR4FF,1
10003956,KUZBAHWBASCRF,1
10003956,KUZBAHWBINR4FF,1
10003956,KUZBAHWBINRF,1
10003956,KUZBAHWBLAW4FF,1
10003956,KUZBAHWBLAWF,1
10003956,KUZBAHWBMAC4FF,1
10003956,KUZBAHWBMACF,1
10003956,KUZBAHWBPLI4FF,1
10003956,KUZBAHWBPLIF,1
10003956,KUZBAHWBPSY4FF,1
10003956,KUZBAHWBPSYF,1
10003956,KUZBAHWBSOC4FF,1
10003956,KUZBAHWBSOCF,1
10003956,KUZBAINFMAC4FF,1
10003956,KUZBAINFMACF,1
10003956,KUZBAINFPLI4FF,1
10003956,KUZBAINFPLIF,1
10003956,KUZBAINFSCR4FF,1
10003956,KUZBAINFSCRF,1
10003956,KUZBAINFSEN4FF,1
10003956,KUZBAINFSENF,1
10003956,KUZBAINRMAC4FF,1
10003956,KUZBAINRMACF,1
10003956,KUZBAINRMAR4FF,1
10003956,KUZBAINRMARF,1
10003956,KUZBAINRMUP4FF,1
10003956,KUZBAINRMUPF,1
10003956,KUZBAINRPHE4FF,1
10003956,KUZBAINRPHEF,1
10003956,KUZBAINRPSY4FF,1
10003956,KUZBAINRPSYF,1
10003956,KUZBAINRRSS4FF,1
10003956,KUZBAINRRSSF,1
10003956,KUZBAINRSCR4FF,1
10003956,KUZBAINRSCRF,1
10003956,KUZBAINRSEN4FF,1
10003956,KUZBAINRSENF,1
10003956,KUZBAINRSES4FF,1
10003956,KUZBAINRSESF,1
10003956,KUZBAINRSOP4FF,1
10003956,KUZBAINRSOPF,1
10003956,KUZBAINRTOR4FF,1
10003956,KUZBAINRTORF,1
10003956,KUZBALAWASCR4FF,1
10003956,KUZBALAWASCRF,1
10003956,KUZBALAWMAC4FF,1
10003956,KUZBALAWMACF,1
10003956,KUZBALAWMAR4FF,1
10003956,KUZBALAWMARF,1
10003956,KUZBALAWMUP4FF,1
10003956,KUZBALAWMUPF,1
10003956,KUZBALAWPHE4FF,1
10003956,KUZBALAWPHEF,1
10003956,KUZBALAWPLI4FF,1
10003956,KUZBALAWPLIF,1
10003956,KUZBALAWPSY4FF,1
10003956,KUZBALAWPSYF,1
10003956,KUZBALAWRSS4FF,1
10003956,KUZBALAWRSSF,1
10003956,KUZBALAWSEN4FF,1
10003956,KUZBALAWSENF,1
10003956,KUZBALAWSES4FF,1
10003956,KUZBALAWSESF,1
10003956,KUZBALAWSOP4FF,1
10003956,KUZBALAWSOPF,1
10003956,KUZBALAWTOR4FF,1
10003956,KUZBALAWTORF,1
10003956,KUZBAMACMST4FF,1
10003956,KUZBAMACMSTF,1
10003956,KUZBAMACMUP4FF,1
10003956,KUZBAMACMUPF,1
10003956,KUZBAMACMUS4FF,1
10003956,KUZBAMACMUSF,1
10003956,KUZBAMACNUT4FF,1
10003956,KUZBAMACNUTF,1
10003956,KUZBAMACRSS4FF,1
10003956,KUZBAMACRSSF,1
10003956,KUZBAMACSEN4FF,1
10003956,KUZBAMACSENF,1
10003956,KUZBAMACSES4FF,1
10003956,KUZBAMACSESF,1
10003956,KUZBAMACSOC4FF,1
10003956,KUZBAMACSOCF,1
10003956,KUZBAMACSPH4FF,1
10003956,KUZBAMACSPHF,1
10003956,KUZBAMACTHO4FF,1
10003956,KUZBAMACTHOF,1
10003956,KUZBAMACTOR4FF,1
10003956,KUZBAMACTORF,1
10003956,KUZBAMARMAC4FF,1
10003956,KUZBAMARMACF,1
10003956,KUZBAMARPLI4FF,1
10003956,KUZBAMARPLIF,1
10003956,KUZBAMARPSY4FF,1
10003956,KUZBAMARPSYF,1
10003956,KUZBAMARSCR4FF,1
10003956,KUZBAMARSCRF,1
